
Vnominal = 15;
BusSE = 55;

			bus		Tb		PD		QD		QC
			55		1		0.00		0.00		0
			51		0		0.00		0.00		0
			52		0		0.00		0.00		0
			53		0		0.00		0.00		0
			54		0		0.00		0.00		0
			1		0		3622.50		2012.50		0
			2		0		1293.75		718.75		0
			3		0		603.75		335.42		0
			4		0		948.75		527.08		0
			5		0		2242.50		1245.83		0
			6		0		603.75		335.42		0
			7		0		862.50		479.17		0
			8		0		1638.75		910.42		0
			9		0		1035.00		575.00		0
			10		0		2501.25		1389.58		0
			11		0		258.75		143.75		0
			12		0		1552.50		862.50		0
			13		0		948.75		527.08		0
			14		0		862.50		479.17		0
			15		0		1207.50		670.83		0
			16		0		1638.75		910.42		0
			17		0		603.75		335.42		0
			18		0		1035.00		575.00		0
			19		0		1207.50		670.83		0
			20		0		690.00		383.33		0
			21		0		1552.50		862.50		0
			22		0		948.75		527.08		0
			23		0		862.50		479.17		0
			24		0		431.25		239.58		0
			25		0		776.25		431.25		0
			26		0		1035.00		575.00		0
			27		0		1293.75		718.75		0
			28		0		603.75		335.42		0
			29		0		1207.50		670.83		0
			30		0		2242.50		1245.83		0
			31		0		603.75		335.42		0
			32		0		1466.25		814.58		0
			33		0		2501.25		1389.58		0
			34		0		1035.00		575.00		0
			35		0		776.25		431.25		0
			36		0		258.75		143.75		0
			37		0		1811.25		1006.25		0
			38		0		948.75		527.08		0
			39		0		862.50		479.17		0
			40		0		1207.50		670.83		0
			41		0		776.25		431.25		0
			42		0		1035.00		575.00		0
			43		0		1121.25		622.92		0
			44		0		1207.50		670.83		0
			45		0		690.00		383.33		0
			46		0		1552.50		862.50		0
			47		0		862.50		479.17		0
			48		0		690.00		383.33		0
			49		0		431.25		239.58		0
			50		0		690.00		383.33		0

			env		rec		line		L		cond		R		X
			55		51		51		0.0001		2		0.0001		0.0001
			55		52		52		0.0001		2		0.0001		0.0001
			55		53		53		0.0001		2		0.0001		0.0001
			55		54		54		0.0001		2		0.0001		0.0001
			51		1		1		1.4400		2		0.2782		0.3282
			1		2		2		1.6000		1		0.5848		0.4032
			51		3		3		1.1200		2		0.2164		0.2552
			3		4		4		1.6000		2		0.3091		0.3646
			4		5		5		1.6000		1		0.5848		0.4032
			5		6		6		1.2800		1		0.4678		0.3226
			4		7		7		1.2800		1		0.4678		0.3226
			7		8		8		1.6000		1		0.5848		0.4032
			1		9		9		1.7600		1		0.6433		0.4435
			31		10		10		1.6000		1		0.5848		0.4032
			52		11		11		1.4400		2		0.2782		0.3282
			11		12		12		1.6000		2		0.3091		0.3646
			12		13		13		2.2400		1		0.8187		0.5645
			52		14		14		1.9200		2		0.3709		0.4376
			14		15		15		1.9200		1		0.7018		0.4838
			15		16		16		1.4400		1		0.5263		0.3629
			18		17		17		2.0800		1		0.7602		0.5242
			21		18		18		1.6000		2		0.3091		0.3646
			18		19		19		1.2800		2		0.2473		0.2917
			19		20		20		1.6000		1		0.5848		0.4032
			54		21		21		1.2800		2		0.2473		0.2917
			54		22		22		1.9200		2		0.3709		0.4376
			22		23		23		1.7600		2		0.3400		0.4011
			23		24		24		1.4400		2		0.2782		0.3282
			24		25		25		1.1200		1		0.4094		0.2822
			27		26		26		1.7600		1		0.6433		0.4435
			28		27		27		1.6000		2		0.3091		0.3646
			53		28		28		1.6000		2		0.3091		0.3646
			30		29		29		1.6000		1		0.5848		0.4032
			54		30		30		1.4400		2		0.2782		0.3282
			37		31		31		1.9200		1		0.7018		0.4838
			39		32		32		2.0800		1		0.7602		0.5242
			34		33		33		0.9600		2		0.1855		0.2188
			35		34		34		1.1200		2		0.2164		0.2552
			36		35		35		1.1200		2		0.2164		0.2552
			53		36		36		1.2800		2		0.2473		0.2917
			43		37		37		1.2800		2		0.2473		0.2917
			44		38		38		1.6000		1		0.5848		0.4032
			33		39		39		1.4400		1		0.5263		0.3629
			41		40		40		1.2800		1		0.4678		0.3226
			53		41		41		1.6000		2		0.3091		0.3646
			41		42		42		1.9200		2		0.3709		0.4376
			30		43		43		2.0800		2		0.4019		0.4740
			45		44		44		1.1200		2		0.2164		0.2552
			12		45		45		1.2800		2		0.2473		0.2917
			14		46		46		1.7600		2		0.3400		0.4011
			46		47		47		1.6000		1		0.5848		0.4032
			42		48		48		1.2800		1		0.4678		0.3226
			48		49		49		1.9200		1		0.7018		0.4838
			49		50		50		1.1200		1		0.4094		0.2822
																	
			24		10		55		1.2300		2		0.2376		0.2803
			39		31		56		1.2300		1		0.4496		0.3100
			10		33		57		1.2300		2		0.2376		0.2803
			38		34		58		2.5000		1		0.9138		0.6300
			32		37		59		1.2300		1		0.4496		0.3100
			38		39		60		1.2300		1		0.4496		0.3100
			32		44		61		1.2300		1		0.4496		0.3100
